"dow","avg_daily_pace_dow"
"Sun",13.8
"Mon",43.5697674418605
"Tue",48.6582278481013
"Wed",29.2207792207792
"Thu",27.4362416107383
"Fri",36.3009708737864
"Sat",23.4133333333333
